Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,1.028118,1.075893,1.005864,1.024929,1.024929,327874863
2021-04-02,1.024953,1.086262,1.006803,1.050654,1.050654,290180007
2021-04-03,1.050550,1.068072,0.953958,0.957415,0.957415,305875437
2021-04-04,0.957988,1.025077,0.936270,1.016826,1.016826,206622602
2021-04-05,1.017631,1.040095,0.965711,1.012126,1.012126,298860522
2021-04-06,1.010634,1.014490,0.922396,0.964446,0.964446,241846048
2021-04-07,0.962755,0.971148,0.839920,0.932561,0.932561,254944899
2021-04-08,0.931712,1.012797,0.914816,0.989815,0.989815,230827953
2021-04-09,0.989538,1.117729,0.989538,1.033294,1.033294,368581943
2021-04-10,1.033930,1.041083,0.971811,1.013689,1.013689,203256567
2021-04-11,1.014360,1.147404,1.004704,1.080534,1.080534,393604953
2021-04-12,1.073913,1.201444,1.027478,1.130914,1.130914,494379244
2021-04-13,1.129458,1.141717,1.047618,1.119175,1.119175,258608419
2021-04-14,1.117259,1.123877,1.016877,1.095351,1.095351,239131039
2021-04-15,1.095081,1.276167,1.073095,1.238374,1.238374,508399413
2021-04-16,1.239706,1.341079,1.116871,1.313581,1.313581,658570995
2021-04-17,1.306088,1.634885,1.246513,1.526686,1.526686,1182123252
2021-04-18,1.537319,1.549834,1.099913,1.349810,1.349810,804297460
2021-04-19,1.350136,1.411169,1.165042,1.317240,1.317240,489099151
2021-04-20,1.313404,1.478903,1.157100,1.396516,1.396516,845876813
2021-04-21,1.405424,1.461802,1.304859,1.337832,1.337832,365199745
2021-04-22,1.332912,1.407656,1.178413,1.249881,1.249881,368753271
2021-04-23,1.246478,1.266968,0.990797,1.234369,1.234369,463585685
2021-04-24,1.234899,1.237397,1.099057,1.103609,1.103609,154562500
2021-04-25,1.104261,1.182958,1.027993,1.091480,1.091480,194471002
2021-04-26,1.094218,1.246571,1.084878,1.230550,1.230550,211992287
2021-04-27,1.228403,1.326943,1.213531,1.312150,1.312150,198305019
2021-04-28,1.311426,1.553022,1.287069,1.548395,1.548395,633120471
2021-04-29,1.551017,1.551017,1.367009,1.458773,1.458773,379322747
2021-04-30,1.457078,1.501898,1.398552,1.486799,1.486799,207746786
2021-05-01,1.487759,1.498250,1.419261,1.463325,1.463325,155275354
2021-05-02,1.462287,1.464253,1.381330,1.409034,1.409034,122967368
2021-05-03,1.408377,1.476554,1.391868,1.406397,1.406397,191247107
2021-05-04,1.404469,1.404744,1.241951,1.271748,1.271748,270875268
2021-05-05,1.266501,1.423072,1.257392,1.418965,1.418965,233397383
2021-05-06,1.418569,1.567796,1.351210,1.567796,1.567796,365456315
2021-05-07,1.569900,1.601806,1.415167,1.464422,1.464422,410015344
2021-05-08,1.465188,1.512742,1.415179,1.441470,1.441470,171379125
2021-05-09,1.443069,1.517057,1.359701,1.490395,1.490395,234970457
